hora,viernes 2019-11-29 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Rápido,viernes 2019-11-29 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Medio,viernes 2019-11-29 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Lento,viernes 2019-11-29 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Lento,viernes 2019-11-29 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Medio,viernes 2019-11-29 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Rápido
0,334,61,16,235,289,32
1,163,11,6,137,138,10
2,110,11,1,79,75,4
3,69,4,5,110,62,1
4,119,9,20,214,82,2
5,284,46,397,811,254,15
6,659,261,1730,1424,622,167
7,1193,1194,768,1125,1293,1013
8,1352,1242,974,1257,1405,1068
9,1304,1075,1028,1010,1304,777
10,1368,1085,1526,1154,1307,780
11,1449,1253,1103,1395,1374,883
12,1581,1586,1005,1353,1529,1086
13,1785,2110,1104,1428,1616,1554
14,1750,2261,1462,1479,1673,1778
15,1657,2208,1093,1434,1655,1733
16,1633,2085,1121,1457,1603,1807
17,1566,1821,1049,1435,1548,1477
18,1506,1840,1147,1161,1500,1783
19,1601,1995,826,1218,1552,1663
20,1661,2001,561,1138,1517,1444
21,1306,1209,364,915,1241,772
22,1006,656,346,907,907,383
23,760,384,323,880,696,233
